closeness 
 0, 1, 2, 3, 4, 5, 6, 
0.8478711800208437; 0.15492483901378923, 0.76544094084802; 0.17563740170243822, 0.6582913331391214; 0.18878127030621367, 0.4781875098488105; 0.17796407415197316, 0.28252948476316403; 0.13868830473424856, 0.11921205731203915; 0.07148815806736274, 0.0; 0.0, 
 
betweenness 
 0, 1, 2, 3, 4, 5, 6, 
0.0; 0.0, 0.00385741901325923; 0.002989698765041975, 0.006568738222894202; 0.004573799480893752, 0.0070041995418192475; 0.0051959276538533295, 0.005860622676486365; 0.004298532310775438, 0.003514329374087212; 0.0025587970098904823, 0.0; 0.0, 
 
eigenvector 
 0, 1, 2, 3, 4, 5, 6, 
2.262740659161994e-14; 3.470987982972452e-30, 8.154000181838453e-12; 1.8895368318274755e-12, 1.7984694681290817e-09; 3.925028966848277e-10, 2.7103215668178915e-07; 5.109213781825143e-08, 3.0389125562295716e-05; 5.821646803243769e-06, 0.002775641690811083; 0.0004993420921505535, 0.23069820416169382; 0.031745838182468414, 
 
katz 
 0, 1, 2, 3, 4, 5, 6, 
0.04956136310836309; 5.273559366969494e-18, 0.06789857663963206; 0.004617438406241378, 0.07807037799827521; 0.006419118319112841, 0.08440143642911291; 0.006963361094380429, 0.08744736826199975; 0.007940145535297897, 0.08993062552126871; 0.007651755356142479, 0.09344485742956783; 0.00820305728027744, 
 
degree 
 0, 1, 2, 3, 4, 5, 6, 
0.02810218681355952; 0.02000161588519544, 0.05291024441740302; 0.0223945200782136, 0.059025397978859834; 0.02176962577420957, 0.05962516772821167; 0.021045690051205487, 0.05809405809773563; 0.020084888780555383, 0.056695189025530085; 0.018262863501527896, 0.031917693535939345; 0.005811425978448477, 
 
