closeness 
 0, 1, 2, 3, 4, 5, 6, 
0.32747870413442365; 0.41196181532406323, 0.3210968086528373; 0.3746194850680065, 0.2827158710699707; 0.330802049312043, 0.22917473108066333; 0.2603339765584478, 0.14333951734320174; 0.16889724136813633, 0.058120354481886086; 0.0727584312425807, 0.0; 0.0, 
 
betweenness 
 0, 1, 2, 3, 4, 5, 6, 
0.0; 0.0, 0.0007318183315219182; 0.0011236675842130504, 0.001257095807397161; 0.0018672751609494003, 0.0014632875539307708; 0.0020900010533661693, 0.0013250930408721143; 0.0017983006274889164, 0.0008220992655534697; 0.001107327862085912, 0.0; 0.0, 
 
eigenvector 
 0, 1, 2, 3, 4, 5, 6, 
4.304769824468693e-14; 3.534096855390133e-30, 1.5037167003717237e-11; 2.659637288188467e-12, 2.683773187638004e-09; 5.145365892578949e-10, 3.2974777506327873e-07; 6.166754974660482e-08, 3.058717972928094e-05; 5.80184463407904e-06, 0.002279340582175436; 0.0004211725637460266, 0.13900564021281472; 0.02581234969337423, 
 
katz 
 0, 1, 2, 3, 4, 5, 6, 
0.03237616239022957; 1.942890293094024e-18, 0.04661260700825467; 0.0031431187132486948, 0.05317390374832044; 0.004553319008753784, 0.056594234804606465; 0.005171225191753077, 0.058523525182078096; 0.0055661037951107864, 0.059739502276388565; 0.005629478263370691, 0.05995796990454065; 0.005984152082107051, 
 
degree 
 0, 1, 2, 3, 4, 5, 6, 
0.01260057306590258; 0.019194121274482643, 0.025313467048710597; 0.018157776907469118, 0.025618338108882522; 0.018248595537189893, 0.025836103151862463; 0.017703889111947087, 0.026001146131805156; 0.017456364005306976, 0.025953008595988532; 0.017290475946426374, 0.012882521489971344; 0.0027637303413223808, 
 
