metric, mean of means, mean of stan dev, stan dev of means, 				stan dev of stan dev 
closeness, 0.03123466843599305, 0.04645546182593524, 0.0006915902241925803, 0.00022247195506933727, 
betweenness, 0.0004890612896669073, 0.0009190527277906333, 1.3174318014648042e-05, 2.6762746776398185e-05, 
katz, 0.02959140729959588, 0.005782488888906107, 9.279727728467234e-06, 4.7531638549140365e-05, 
degree, 0.008896815286624204, 0.0071963857674130225, 3.984512363769653e-05, 0.00013926401481878875, 
load, 0.0004890612896669073, 0.0009185109359340234, 1.3174318014648057e-05, 2.655111208992702e-05, 
