metric, mean of means, mean of stan dev, stan dev of means, 				stan dev of stan dev 
closeness, 0.4328781467751605, 0.5103682813130425, 0.044450541356102505, 0.035852421146300786, 
betweenness, 0.0010861545251155994, 0.0022636292269210363, 0.0001028583154602339, 0.00020202523483553607, 
katz, 0.03505278488732312, 0.00552161364745405, 0.0007975387460522906, 0.0002480446441808694, 
degree, 0.012883656646960964, 0.008509204750054162, 0.0005127667787458115, 0.00020785591063972965, 
load, 0.0010861545251155994, 0.0022637094822356746, 0.0001028583154602339, 0.00020210161606046812, 
