metric, mean of means, mean of stan dev, stan dev of means, 				stan dev of stan dev 
closeness, 1.1029994141092212, 0.905866933532904, 0.11019934708921034, 0.07994236513266191, 
betweenness, 0.0024971031270972334, 0.0032787658446580352, 0.00015258415009979779, 0.0002237668359469964, 
katz, 0.04657903173571535, 0.007610192380866382, 0.0009186775018465482, 0.00022525056786426475, 
degree, 0.01706550467268661, 0.007839901386404254, 0.0007302308559004016, 0.00032227498935098433, 
load, 0.0024971031270972334, 0.0032789277763986334, 0.00015258415009979776, 0.0002237891753915298, 
