metric, mean of means, mean of stan dev, stan dev of means, 				stan dev of stan dev 
closeness, 0.026587541877616902, 0.04188200937255242, 0.0007467390799006669, 0.00039046985657911857, 
betweenness, 0.0004502094288248617, 0.0008711278703173419, 1.9488896144030534e-05, 3.563595923480563e-05, 
katz, 0.029708108250055373, 0.005149262702983129, 1.122672998103898e-05, 6.465964817182061e-05, 
degree, 0.006701828108197535, 0.0056427095178586415, 5.829661549110239e-05, 9.64528859415806e-05, 
load, 0.0004502094288248617, 0.0008593592344137478, 1.9488896144030538e-05, 3.403814408265143e-05, 
