closeness 
 0, 1, 2, 3, 4, 5, 6, 
0.3330660072821951; 0.4223465108252518, 0.3309895924363097; 0.388517079854833, 0.3065701895827585; 0.3387239433530515, 0.24504924810909562; 0.2751370193079491, 0.15308938157999324; 0.18533403081406952, 0.06409260892270242; 0.079437824786895, 0.0; 0.0, 
 
betweenness 
 0, 1, 2, 3, 4, 5, 6, 
0.0; 0.0, 0.0007341962256694003; 0.0011375332615646497, 0.0012628528142805385; 0.0018210957638731735, 0.0014961696802028785; 0.0020473116408718083, 0.0013610249316602441; 0.0019297225581541271, 0.0008410499621249546; 0.0011124977111486682, 0.0; 0.0, 
 
eigenvector 
 0, 1, 2, 3, 4, 5, 6, 
3.45004639237425e-14; 2.271919407036514e-30, 1.2952097387760217e-11; 1.454066691508635e-12, 2.442163210206631e-09; 2.855591373163905e-10, 3.0736831257698476e-07; 3.771070413343013e-08, 2.8980875047623462e-05; 3.514444621594745e-06, 0.0022140658769043507; 0.0002675238520619934, 0.14041802731814917; 0.016535505021120268, 
 
katz 
 0, 1, 2, 3, 4, 5, 6, 
0.03082375460083772; 1.6653345369377347e-18, 0.04553013952714538; 0.0027428959875411053, 0.05290673810742927; 0.003853884709374579, 0.05658939774251981; 0.00465437777477661, 0.058853465810036046; 0.004801165581744682, 0.06039710818444806; 0.0049748353785074315, 0.061164132452309554; 0.005163821977859223, 
 
degree 
 0, 1, 2, 3, 4, 5, 6, 
0.013671060171919774; 0.02097470097506238, 0.02757593123209169; 0.019731703079024762, 0.027823495702005728; 0.018781316633572537, 0.027990830945558744; 0.01878623683752467, 0.028231518624641835; 0.01920194099085158, 0.0284080229226361; 0.01843167842816888, 0.014248710601719197; 0.002388085334578345, 
 
