closeness 
 0, 1, 2, 3, 4, 5, 6, 
0.8580307297980988; 0.14502527703777368, 0.8028024880888596; 0.15119809498347692, 0.7161956289498629; 0.1566301011057695, 0.5904543791206144; 0.1789756268546025, 0.39971466276083745; 0.18922113902996476, 0.1788237778314366; 0.09928458574579381, 0.0; 0.0, 
 
betweenness 
 0, 1, 2, 3, 4, 5, 6, 
0.0; 0.0, 0.0036775015410890487; 0.0027952913097598997, 0.006038458135386195; 0.004315967043689982, 0.0072873967570204435; 0.0047797134195982464, 0.007038574920516233; 0.005091743201998872, 0.004680888152723666; 0.003083264927932083, 0.0; 0.0, 
 
eigenvector 
 0, 1, 2, 3, 4, 5, 6, 
2.852820181761406e-14; 1.8301573001127473e-30, 9.679844190125043e-12; 1.7882470333870371e-12, 1.986824689111319e-09; 3.4065731807746526e-10, 2.729070197066659e-07; 4.040787384140665e-08, 2.859360318674914e-05; 3.7445165362695968e-06, 0.0024225691678451417; 0.00030206084533416713, 0.17659059433652544; 0.016169331267791003, 
 
katz 
 0, 1, 2, 3, 4, 5, 6, 
0.044592314102119654; 4.163336342344337e-18, 0.062173398826906826; 0.004077349623237929, 0.07286804475524575; 0.005472539923087787, 0.0793819982430081; 0.00634400754883107, 0.08311444705734322; 0.00659277402740466, 0.08589622653414913; 0.0067792957670786535, 0.08858020682997546; 0.006766164058815495, 
 
degree 
 0, 1, 2, 3, 4, 5, 6, 
0.02782570817910681; 0.019526395167936014, 0.053479841959362825; 0.02229399387973679, 0.05631921889032399; 0.02015676096814886, 0.057799375553769614; 0.018928939983721478, 0.06013203409974936; 0.02117143172290334, 0.06957896932944627; 0.02408930061125963, 0.030730617116440075; 0.004640562029243857, 
 
