closeness 
 0, 1, 2, 3, 4, 5, 6, 
0.8475552980103774; 0.026234768787188133, 0.8109465046473378; 0.04207223811803198, 0.7376176871462253; 0.07803342880978292, 0.6321769943633825; 0.10085470810752886, 0.45218956591373305; 0.08842609252834684, 0.22124389449077964; 0.04914459201600565, 0.0; 0.0, 
 
betweenness 
 0, 1, 2, 3, 4, 5, 6, 
0.0; 0.0, 0.003954074691845263; 0.0006014330413888555, 0.006339256842306207; 0.000928134534171196, 0.008078554127505076; 0.0013421217953820067, 0.007633854185995864; 0.001163512949755407, 0.005614740338232369; 0.0010427589627089405, 0.0; 0.0, 
 
eigenvector 
 0, 1, 2, 3, 4, 5, 6, 
3.8304872211920684e-14; 1.459673611371961e-14, 1.2294850584303383e-11; 3.3570100644540358e-12, 2.3625693910262917e-09; 4.3441224236231094e-10, 3.0736373597936736e-07; 3.9047931376745784e-08, 3.02421326810054e-05; 3.621116904550928e-06, 0.0024217894426021734; 0.0004398951365303118, 0.16851328019055803; 0.05782414910290507, 
 
katz 
 0, 1, 2, 3, 4, 5, 6, 
0.043437745181478575; 0.00273930868723812, 0.06157504931853089; 0.0039929202052766165, 0.07254001447057022; 0.00406262285453489, 0.07923472269738156; 0.0039482511048317195, 0.08266341405690143; 0.003369806794921131, 0.08479939579032283; 0.003253629455502507, 0.08682893853671471; 0.004220148550704634, 
 
degree 
 0, 1, 2, 3, 4, 5, 6, 
0.02662386162239265; 0.003900657029622202, 0.05523411737619592; 0.007306639469309352, 0.05614381072202839; 0.005817303004763704, 0.059019457842351526; 0.00441087778903452, 0.05928663535064451; 0.00490409044514043, 0.07985088667680525; 0.01032341363802619, 0.03026547075185173; 0.0022851382917521454, 
 
