metric, mean of means, mean of stan dev, stan dev of means, 				stan dev of stan dev 
closeness, 0.7604013772784595, 0.706118353279924, 0.08009194797980165, 0.06274523363906233, 
betweenness, 0.0017948716178548974, 0.0029367085449021712, 0.0001207863866076089, 0.0002403211250327085, 
katz, 0.0406200486508748, 0.006784119227375763, 0.0007998395017171126, 0.00018902144821204007, 
degree, 0.015611707839329565, 0.007926326645370924, 0.0005089566658718656, 0.0002210556724765599, 
load, 0.0017948716178548974, 0.0029367549060491725, 0.00012078638660760885, 0.0002403675487359006, 
