metric, mean of means, mean of stan dev, stan dev of means, 				stan dev of stan dev 
closeness, 0.03052191483306887, 0.044918760940541785, 0.0007382714163880083, 0.0003225347866242561, 
betweenness, 0.0004885792244255228, 0.0008881479351222439, 1.5323094909823756e-05, 2.2459025213256633e-05, 
katz, 0.02963559789133767, 0.005551414285132369, 1.169093386871892e-05, 6.252576065243061e-05, 
degree, 0.007994242699975184, 0.006360140441710568, 4.235854866967261e-05, 9.527083670241185e-05, 
load, 0.0004885792244255228, 0.0008833291169340855, 1.5323094909823773e-05, 2.2704869635489578e-05, 
